sn	train	num_runs	max_dist	bin_width	kappa	DCBC
0	ses-s1	8	40	1.5	0.0	0.12715522179391966
1	ses-s1	8	40	1.5	0.0	0.10451169216784416
2	ses-s1	8	40	1.5	0.0	0.06989489205260845
3	ses-s1	8	40	1.5	0.0	0.2302184079645288
4	ses-s1	8	40	1.5	0.0	0.12891467614292584
5	ses-s1	8	40	1.5	0.0	0.16982124250166805
6	ses-s1	8	40	1.5	0.0	0.2302779081925414
7	ses-s1	8	40	1.5	0.0	0.12403904825543391
8	ses-s1	8	40	1.5	0.0	0.10912720959897151
9	ses-s1	8	40	1.5	0.0	0.1271586939649363
10	ses-s1	8	40	1.5	0.0	0.1894960553357622
11	ses-s1	8	40	1.5	0.0	0.06577510581340605
12	ses-s1	8	40	1.5	0.0	0.11676629359696443
13	ses-s1	8	40	1.5	0.0	0.17077709577647082
14	ses-s1	8	40	1.5	0.0	0.11609025063377684
15	ses-s1	8	40	1.5	0.0	0.17847546875111422
16	ses-s1	8	40	1.5	0.0	0.15790741820654156
17	ses-s1	8	40	1.5	0.0	0.09645676801579645
18	ses-s1	8	40	1.5	0.0	0.1589217686414717
19	ses-s1	8	40	1.5	0.0	0.1617045045702853
20	ses-s1	8	40	1.5	0.0	0.1788210450787163
21	ses-s1	8	40	1.5	0.0	0.10760157323170187
22	ses-s1	8	40	1.5	0.0	0.0917816390884216
23	ses-s1	8	40	1.5	0.0	0.16028452145572167
0	ses-s1	8	40	1.5	0.2	0.13917984913765613
1	ses-s1	8	40	1.5	0.2	0.1260958647863086
2	ses-s1	8	40	1.5	0.2	0.07354029691249206
3	ses-s1	8	40	1.5	0.2	0.28694269565274716
4	ses-s1	8	40	1.5	0.2	0.14351795771543016
5	ses-s1	8	40	1.5	0.2	0.18381208462459236
6	ses-s1	8	40	1.5	0.2	0.247766314529577
7	ses-s1	8	40	1.5	0.2	0.14864626504811587
8	ses-s1	8	40	1.5	0.2	0.11075804073273073
9	ses-s1	8	40	1.5	0.2	0.14715383466230203
10	ses-s1	8	40	1.5	0.2	0.2127523135446442
11	ses-s1	8	40	1.5	0.2	0.06881970568069048
12	ses-s1	8	40	1.5	0.2	0.13307074447564599
13	ses-s1	8	40	1.5	0.2	0.19151102393200992
14	ses-s1	8	40	1.5	0.2	0.12352367067354347
15	ses-s1	8	40	1.5	0.2	0.19892744025974093
16	ses-s1	8	40	1.5	0.2	0.16856940129143558
17	ses-s1	8	40	1.5	0.2	0.114628930199163
18	ses-s1	8	40	1.5	0.2	0.171244600108383
19	ses-s1	8	40	1.5	0.2	0.17504881766611072
20	ses-s1	8	40	1.5	0.2	0.1860029468510762
21	ses-s1	8	40	1.5	0.2	0.11930941920925837
22	ses-s1	8	40	1.5	0.2	0.11275164474868757
23	ses-s1	8	40	1.5	0.2	0.1688825215329761
0	ses-s1	8	40	1.5	0.5	0.15687566710889553
1	ses-s1	8	40	1.5	0.5	0.1440417089585816
2	ses-s1	8	40	1.5	0.5	0.07594906843510026
3	ses-s1	8	40	1.5	0.5	0.3306449955779201
4	ses-s1	8	40	1.5	0.5	0.15402123366378356
5	ses-s1	8	40	1.5	0.5	0.1975814237727659
6	ses-s1	8	40	1.5	0.5	0.2570945568494714
7	ses-s1	8	40	1.5	0.5	0.17330719235094194
8	ses-s1	8	40	1.5	0.5	0.11168770637554506
9	ses-s1	8	40	1.5	0.5	0.17181003409801154
10	ses-s1	8	40	1.5	0.5	0.24607739069113382
11	ses-s1	8	40	1.5	0.5	0.07117967463339846
12	ses-s1	8	40	1.5	0.5	0.14731031151003982
13	ses-s1	8	40	1.5	0.5	0.21248513979411976
14	ses-s1	8	40	1.5	0.5	0.13277175055951296
15	ses-s1	8	40	1.5	0.5	0.22555662000254179
16	ses-s1	8	40	1.5	0.5	0.17646074359676206
17	ses-s1	8	40	1.5	0.5	0.1424189174205499
18	ses-s1	8	40	1.5	0.5	0.1841549196264579
19	ses-s1	8	40	1.5	0.5	0.1929381705050772
20	ses-s1	8	40	1.5	0.5	0.18562529107486953
21	ses-s1	8	40	1.5	0.5	0.13136224701710345
22	ses-s1	8	40	1.5	0.5	0.13184459340040958
23	ses-s1	8	40	1.5	0.5	0.1751450662545299
0	ses-s1	8	40	1.5	0.8	0.16055071548579114
1	ses-s1	8	40	1.5	0.8	0.15433581583651113
2	ses-s1	8	40	1.5	0.8	0.0773400098957163
3	ses-s1	8	40	1.5	0.8	0.35303235081344186
4	ses-s1	8	40	1.5	0.8	0.16477517031386524
5	ses-s1	8	40	1.5	0.8	0.2036850906787756
6	ses-s1	8	40	1.5	0.8	0.25922855754095114
7	ses-s1	8	40	1.5	0.8	0.1814006119601207
8	ses-s1	8	40	1.5	0.8	0.10830815858498251
9	ses-s1	8	40	1.5	0.8	0.19174646962282962
10	ses-s1	8	40	1.5	0.8	0.2691705469298797
11	ses-s1	8	40	1.5	0.8	0.07490579342784824
12	ses-s1	8	40	1.5	0.8	0.15706245539339908
13	ses-s1	8	40	1.5	0.8	0.22345156429912605
14	ses-s1	8	40	1.5	0.8	0.1381351766623103
15	ses-s1	8	40	1.5	0.8	0.23614870746558603
16	ses-s1	8	40	1.5	0.8	0.1823311398754056
17	ses-s1	8	40	1.5	0.8	0.16340862050199967
18	ses-s1	8	40	1.5	0.8	0.19074285284278836
19	ses-s1	8	40	1.5	0.8	0.2030563076173866
20	ses-s1	8	40	1.5	0.8	0.18757009533785038
21	ses-s1	8	40	1.5	0.8	0.13595402335941933
22	ses-s1	8	40	1.5	0.8	0.13848609067103226
23	ses-s1	8	40	1.5	0.8	0.17897994353341412
0	ses-s1	8	40	1.5	1.0	0.16121981686288545
1	ses-s1	8	40	1.5	1.0	0.1597915502410838
2	ses-s1	8	40	1.5	1.0	0.07758816038951881
3	ses-s1	8	40	1.5	1.0	0.36050341904411226
4	ses-s1	8	40	1.5	1.0	0.1681178094666809
5	ses-s1	8	40	1.5	1.0	0.20871592358004906
6	ses-s1	8	40	1.5	1.0	0.2631128016831971
7	ses-s1	8	40	1.5	1.0	0.1879022758305429
8	ses-s1	8	40	1.5	1.0	0.10869356064589147
9	ses-s1	8	40	1.5	1.0	0.2001884282370666
10	ses-s1	8	40	1.5	1.0	0.2787014580188864
11	ses-s1	8	40	1.5	1.0	0.07614110252112966
12	ses-s1	8	40	1.5	1.0	0.16126738507697969
13	ses-s1	8	40	1.5	1.0	0.22830672580841085
14	ses-s1	8	40	1.5	1.0	0.14077826558230622
15	ses-s1	8	40	1.5	1.0	0.24299841408574946
16	ses-s1	8	40	1.5	1.0	0.1859175389727875
17	ses-s1	8	40	1.5	1.0	0.1715683128874847
18	ses-s1	8	40	1.5	1.0	0.19136179002526468
19	ses-s1	8	40	1.5	1.0	0.20968657209995323
20	ses-s1	8	40	1.5	1.0	0.1864526340120859
21	ses-s1	8	40	1.5	1.0	0.139670013471815
22	ses-s1	8	40	1.5	1.0	0.1439243353004828
23	ses-s1	8	40	1.5	1.0	0.1822590966613519
0	ses-s1	8	40	1.5	2.0	0.16396473577619744
1	ses-s1	8	40	1.5	2.0	0.1682627096910645
2	ses-s1	8	40	1.5	2.0	0.0780468790088226
3	ses-s1	8	40	1.5	2.0	0.3725885577370764
4	ses-s1	8	40	1.5	2.0	0.17363999726071003
5	ses-s1	8	40	1.5	2.0	0.22170933631064976
6	ses-s1	8	40	1.5	2.0	0.2651416870810726
7	ses-s1	8	40	1.5	2.0	0.19337106493864628
8	ses-s1	8	40	1.5	2.0	0.10003539428583319
9	ses-s1	8	40	1.5	2.0	0.21818322096424816
10	ses-s1	8	40	1.5	2.0	0.30173283375220206
11	ses-s1	8	40	1.5	2.0	0.0835118847891861
12	ses-s1	8	40	1.5	2.0	0.17282503159408125
13	ses-s1	8	40	1.5	2.0	0.23752929151917399
14	ses-s1	8	40	1.5	2.0	0.1458027156514305
15	ses-s1	8	40	1.5	2.0	0.24541491544196797
16	ses-s1	8	40	1.5	2.0	0.18608143233037297
17	ses-s1	8	40	1.5	2.0	0.18909334323664942
18	ses-s1	8	40	1.5	2.0	0.18648347252626354
19	ses-s1	8	40	1.5	2.0	0.2225536170934972
20	ses-s1	8	40	1.5	2.0	0.18317701863156755
21	ses-s1	8	40	1.5	2.0	0.1416906054560701
22	ses-s1	8	40	1.5	2.0	0.15151752972216095
