sn	train	num_runs	max_dist	bin_width	kappa	DCBC
23	ses-s1	16	40	1.5	0.8	0.19082470703107093
0	ses-s1	16	40	1.5	1.0	0.16719579009988164
1	ses-s1	16	40	1.5	1.0	0.1769717572986943
2	ses-s1	16	40	1.5	1.0	0.08187281941883305
3	ses-s1	16	40	1.5	1.0	0.37607015809407834
4	ses-s1	16	40	1.5	1.0	0.18323759373642745
5	ses-s1	16	40	1.5	1.0	0.22768349642265714
6	ses-s1	16	40	1.5	1.0	0.27994007116377184
7	ses-s1	16	40	1.5	1.0	0.20598542862273517
8	ses-s1	16	40	1.5	1.0	0.10448806266494938
9	ses-s1	16	40	1.5	1.0	0.2292658946021565
10	ses-s1	16	40	1.5	1.0	0.31865851501280856
11	ses-s1	16	40	1.5	1.0	0.0875234942170628
12	ses-s1	16	40	1.5	1.0	0.1880356458339766
13	ses-s1	16	40	1.5	1.0	0.24726407098583097
14	ses-s1	16	40	1.5	1.0	0.14952256846705075
15	ses-s1	16	40	1.5	1.0	0.2612004137974415
16	ses-s1	16	40	1.5	1.0	0.192283596893386
17	ses-s1	16	40	1.5	1.0	0.19527184466010553
18	ses-s1	16	40	1.5	1.0	0.18274723392501904
19	ses-s1	16	40	1.5	1.0	0.22562554395248519
20	ses-s1	16	40	1.5	1.0	0.18851458972375598
21	ses-s1	16	40	1.5	1.0	0.15163617757452513
22	ses-s1	16	40	1.5	1.0	0.16026368143946498
23	ses-s1	16	40	1.5	1.0	0.1925985766871477
0	ses-s1	16	40	1.5	2.0	0.16163599534248874
1	ses-s1	16	40	1.5	2.0	0.18206499434623563
2	ses-s1	16	40	1.5	2.0	0.08406428047133653
3	ses-s1	16	40	1.5	2.0	0.38032940120857434
4	ses-s1	16	40	1.5	2.0	0.18821676424249612
5	ses-s1	16	40	1.5	2.0	0.23456836792330757
6	ses-s1	16	40	1.5	2.0	0.28299498474141377
7	ses-s1	16	40	1.5	2.0	0.2081871970270335
8	ses-s1	16	40	1.5	2.0	0.09480672441446054
9	ses-s1	16	40	1.5	2.0	0.2386351935913618
10	ses-s1	16	40	1.5	2.0	0.32416985535052606
11	ses-s1	16	40	1.5	2.0	0.09550640820654872
12	ses-s1	16	40	1.5	2.0	0.19711714539590294
13	ses-s1	16	40	1.5	2.0	0.25260322096001064
14	ses-s1	16	40	1.5	2.0	0.15506413333098298
15	ses-s1	16	40	1.5	2.0	0.2604195458125436
16	ses-s1	16	40	1.5	2.0	0.18632805497690724
17	ses-s1	16	40	1.5	2.0	0.20312607705424027
18	ses-s1	16	40	1.5	2.0	0.17325053461790166
19	ses-s1	16	40	1.5	2.0	0.2311896062861364
20	ses-s1	16	40	1.5	2.0	0.18514652835326406
21	ses-s1	16	40	1.5	2.0	0.1556597361481515
22	ses-s1	16	40	1.5	2.0	0.17362940969869464
23	ses-s1	16	40	1.5	2.0	0.1957798627222581
0	ses-s1	16	40	1.5	3.0	0.15848111104503884
1	ses-s1	16	40	1.5	3.0	0.182108406659749
2	ses-s1	16	40	1.5	3.0	0.08202394522174865
3	ses-s1	16	40	1.5	3.0	0.38214625867897717
4	ses-s1	16	40	1.5	3.0	0.18901355824822885
5	ses-s1	16	40	1.5	3.0	0.23535120723965725
6	ses-s1	16	40	1.5	3.0	0.2837699257821094
7	ses-s1	16	40	1.5	3.0	0.21026464367073683
8	ses-s1	16	40	1.5	3.0	0.09103489372485125
9	ses-s1	16	40	1.5	3.0	0.23997438063730267
10	ses-s1	16	40	1.5	3.0	0.32481378720112364
11	ses-s1	16	40	1.5	3.0	0.10019534253919957
12	ses-s1	16	40	1.5	3.0	0.19789534574490972
13	ses-s1	16	40	1.5	3.0	0.2502395610372271
14	ses-s1	16	40	1.5	3.0	0.15583988565174975
15	ses-s1	16	40	1.5	3.0	0.2581166612135983
16	ses-s1	16	40	1.5	3.0	0.18368627300225954
17	ses-s1	16	40	1.5	3.0	0.20385068315516477
18	ses-s1	16	40	1.5	3.0	0.17024157383229147
19	ses-s1	16	40	1.5	3.0	0.22943635683397254
20	ses-s1	16	40	1.5	3.0	0.18446121998272047
21	ses-s1	16	40	1.5	3.0	0.1558237532473507
22	ses-s1	16	40	1.5	3.0	0.17572266481967425
23	ses-s1	16	40	1.5	3.0	0.19370121843169133
0	ses-s1	16	40	1.5	4.0	0.15739150703029492
1	ses-s1	16	40	1.5	4.0	0.1819664522049759
2	ses-s1	16	40	1.5	4.0	0.08126171818978452
3	ses-s1	16	40	1.5	4.0	0.38138956817113345
4	ses-s1	16	40	1.5	4.0	0.18907195042885433
5	ses-s1	16	40	1.5	4.0	0.23452333232743514
6	ses-s1	16	40	1.5	4.0	0.28345085343334203
7	ses-s1	16	40	1.5	4.0	0.2099804054111855
8	ses-s1	16	40	1.5	4.0	0.08890180532259508
9	ses-s1	16	40	1.5	4.0	0.24177366850951026
10	ses-s1	16	40	1.5	4.0	0.3250519513328617
11	ses-s1	16	40	1.5	4.0	0.10042533349680462
12	ses-s1	16	40	1.5	4.0	0.19786356622023313
13	ses-s1	16	40	1.5	4.0	0.2485593756943193
14	ses-s1	16	40	1.5	4.0	0.15420164514495194
15	ses-s1	16	40	1.5	4.0	0.25672548831574515
16	ses-s1	16	40	1.5	4.0	0.1810273538336762
17	ses-s1	16	40	1.5	4.0	0.20296670469805517
18	ses-s1	16	40	1.5	4.0	0.16857842400489353
19	ses-s1	16	40	1.5	4.0	0.2298753803756698
20	ses-s1	16	40	1.5	4.0	0.18357757066319658
21	ses-s1	16	40	1.5	4.0	0.15790825857632432
22	ses-s1	16	40	1.5	4.0	0.17732596514361
23	ses-s1	16	40	1.5	4.0	0.19381523530392278
0	ses-s1	16	40	1.5	5.0	0.1556653036953125
1	ses-s1	16	40	1.5	5.0	0.18147858758865223
