atlas	K	train_data	train_sess	test_data	test_sess	model_type	group_map_name	subj_num	indiv_test_kappa	homo_indiv	task_name	test_run	train_smooth	test_smooth	test_type	strength	spatial_w
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	100206		0.0746479	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	100307		0.059142094	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	100408		0.09627032	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	100610		0.05622816	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	101006		0.05208373	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	101107		0.090778954	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	101309		0.06468336	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	101915		0.038622156	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102008		0.065213524	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102109		0.1037415	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102311		0.06854947	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102513		0.026360556	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102614		0.03982794	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102715		0.055122945	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102816		0.044681955	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	103111		0.040135663	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	103212		0.03670129	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	103414		0.05578558	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	103818		0.076069355	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	104820		0.056888036	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	105216		0.081029035	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	105923		0.077473134	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	106319		0.13971232	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	108121		0.08644141	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	108222		0.06477721	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	113316		0.053690117	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	123723		0.029964775	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	127226		0.04298553	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	127933		0.07320702	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	128026		0.076054126	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	128127		0.07930112	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	128632		0.13404806	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	128935		0.0473748	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	129331		0.094511636	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	130316		0.060742717	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	130922		0.049199946	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	131217		0.054610614	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	132017		0.08601936	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	134021		0.05825447	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	134324		0.07714295	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	134425		0.07541136	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	135629		0.09464845	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	135730		0.06734023	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	135932		0.10857118	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	136126		0.037607323	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	136227		0.04927282	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	136631		0.06623393	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	138332		0.07351266	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	140824		0.043048635	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	143325		0.078514405	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	100206		0.03677798	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	100307		0.046774983	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	100408		0.112273134	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	100610		0.048105195	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	101006		0.049086947	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	101107		0.10788436	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	101309		0.0561041	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	101915		0.048375174	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102008		0.07437849	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102109		0.09715201	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102311		0.087099865	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102513		0.025584834	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102614		0.036733177	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102715		0.048749376	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102816		0.058356263	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	103111		0.031029334	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	103212		0.052386854	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	103414		0.061124023	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	103818		0.10146874	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	104820		0.090336695	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	105216		0.08001353	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	105923		0.12719266	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	106319		0.16512732	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	108121		0.08598533	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	108222		0.06682379	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	113316		0.06943231	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	123723		0.038699184	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	127226		0.059292663	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	127933		0.113561384	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	128026		0.07314195	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	128127		0.053516645	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	128632		0.13288544	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	128935		0.040421896	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	129331		0.096368805	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	130316		0.056528855	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	130922		0.040883772	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	131217		0.05299153	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	132017		0.09268678	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	134021		0.07196234	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	134324		0.06308421	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	134425		0.05953985	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	135629		0.10554953	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	135730		0.05896564	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	135932		0.074246734	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	136126		0.038170986	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	136227		0.04669292	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	136631		0.06378296	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	138332		0.09676766	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	140824		0.06372565	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	143325		0.11165622	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	144428		0.11100352	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	145834		0.079979524	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	146836		0.053158954	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	147636		0.08062371	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	148133		0.060930043	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	149337		0.0508117	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	149539		0.037498508	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	150625		0.07705135	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	151728		0.049623962	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	153025		0.06998093	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	153429		0.07721844	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	153833		0.03218557	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	153934		0.06145258	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	154229		0.09354616	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	154431		0.05547759	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	154936		0.06512358	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	155635		0.04808486	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	156031		0.06780067	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	156435		0.13028386	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	158540		0.08328159	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	158843		0.045924492	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	159441		0.043193407	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	160830		0.061639413	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	164939		0.057202693	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	167238		0.059396062	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	168139		0.06253895	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	168240		0.040189765	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	168745		0.040737886	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	169040		0.06366478	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	169545		0.042176142	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	171330		0.06625463	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	172332		0.041751996	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	172433		0.061715115	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	173435		0.086975165	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	173637		0.075992316	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	176542		0.07879409	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	178142		0.070609264	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	179346		0.067782305	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	180432		0.07082844	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	185442		0.05103646	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	188145		0.02643966	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	191336		0.06636135	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	191942		0.044304695	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	192035		0.020524565	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	192843		0.028224403	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	193845		0.055120673	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	194140		0.055757366	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	195849		0.035709973	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	198350		0.08391791	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	199655		0.027750172	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	144428		0.10781746	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	145834		0.04749724	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	146836		0.05906875	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	147636		0.07904668	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	148133		0.07279929	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	149337		0.05374508	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	149539		0.03669914	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	150625		0.07545882	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	151728		0.04705185	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	153025		0.08356658	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	153429		0.0756492	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	153833		0.06486816	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	153934		0.08147085	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	154229		0.07455291	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	154431		0.061835267	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	154936		0.058372032	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	155635		0.04566838	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	156031		0.1001206	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	156435		0.114447884	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	158540		0.06959077	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	158843		0.058331046	all	2	6fwhm	sm0	Tseries	20	100
