atlas	K	train_data	train_sess	test_data	test_sess	model_type	group_map_name	subj_num	indiv_test_kappa	homo_indiv	task_name	test_run	train_smooth	test_smooth	test_type	strength	spatial_w
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	100206		0.07468193	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	100307		0.059190065	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	100408		0.09638072	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	100610		0.05625023	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	101006		0.052128386	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	101107		0.09081021	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	101309		0.06473003	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	101915		0.03872165	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102008		0.06529086	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102109		0.10387803	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102311		0.0686062	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102513		0.026378369	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102614		0.039834887	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102715		0.055184387	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102816		0.04465715	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	103111		0.040214106	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	103212		0.03674119	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	103414		0.055767525	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	103818		0.07608937	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	104820		0.056920566	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	105216		0.08106313	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	105923		0.07748985	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	106319		0.13976908	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	108121		0.08651398	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	108222		0.064888366	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	113316		0.053685673	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	123723		0.029970186	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	127226		0.042990472	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	127933		0.07317259	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	128026		0.07610029	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	128127		0.07939126	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	128632		0.13411686	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	128935		0.04738244	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	129331		0.09446831	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	130316		0.060770586	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	130922		0.049217504	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	131217		0.05469863	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	132017		0.08610797	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	134021		0.05841999	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	134324		0.077241585	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	134425		0.075466685	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	135629		0.09466402	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	135730		0.067355976	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	135932		0.10859682	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	136126		0.037606325	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	136227		0.049341593	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	136631		0.06627984	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	138332		0.07350189	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	140824		0.043083772	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	143325		0.07856193	all	1	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	100206		0.036806293	all	2	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	100307		0.046811935	all	2	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	100408		0.11232555	all	2	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	100610		0.04814415	all	2	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	101006		0.049116667	all	2	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	101107		0.10794072	all	2	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	101309		0.056169912	all	2	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	101915		0.04846244	all	2	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102008		0.07441608	all	2	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102109		0.09727817	all	2	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102311		0.08719889	all	2	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102513		0.025589874	all	2	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102614		0.036739882	all	2	6fwhm	sm0	Tseries	20	80
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102715		0.04878783	all	2	6fwhm	sm0	Tseries	20	80
