sn	train	num_runs	max_dist	bin_width	kappa	DCBC
0	ses-s1	2	40	1.5	0.0	0.12715522179391966
1	ses-s1	2	40	1.5	0.0	0.10451169216784416
2	ses-s1	2	40	1.5	0.0	0.06989489205260845
3	ses-s1	2	40	1.5	0.0	0.2302184079645288
4	ses-s1	2	40	1.5	0.0	0.12891467614292584
5	ses-s1	2	40	1.5	0.0	0.16982124250166805
6	ses-s1	2	40	1.5	0.0	0.2302779081925414
7	ses-s1	2	40	1.5	0.0	0.12403904825543391
8	ses-s1	2	40	1.5	0.0	0.10912720959897151
9	ses-s1	2	40	1.5	0.0	0.1271586939649363
10	ses-s1	2	40	1.5	0.0	0.1894960553357622
11	ses-s1	2	40	1.5	0.0	0.06577510581340605
12	ses-s1	2	40	1.5	0.0	0.11676629359696443
13	ses-s1	2	40	1.5	0.0	0.17077709577647082
14	ses-s1	2	40	1.5	0.0	0.11609025063377684
15	ses-s1	2	40	1.5	0.0	0.17847546875111422
16	ses-s1	2	40	1.5	0.0	0.15790741820654156
17	ses-s1	2	40	1.5	0.0	0.09645676801579645
18	ses-s1	2	40	1.5	0.0	0.1589217686414717
19	ses-s1	2	40	1.5	0.0	0.1617045045702853
20	ses-s1	2	40	1.5	0.0	0.1788210450787163
21	ses-s1	2	40	1.5	0.0	0.10760157323170187
22	ses-s1	2	40	1.5	0.0	0.0917816390884216
23	ses-s1	2	40	1.5	0.0	0.16028452145572167
0	ses-s1	2	40	1.5	0.2	0.13143635525132694
1	ses-s1	2	40	1.5	0.2	0.11076404569164805
2	ses-s1	2	40	1.5	0.2	0.07217621375045054
3	ses-s1	2	40	1.5	0.2	0.24580835451591043
4	ses-s1	2	40	1.5	0.2	0.13543235982116125
5	ses-s1	2	40	1.5	0.2	0.17502355003646403
6	ses-s1	2	40	1.5	0.2	0.23588507539930081
7	ses-s1	2	40	1.5	0.2	0.13287267736580755
8	ses-s1	2	40	1.5	0.2	0.10938490114752836
9	ses-s1	2	40	1.5	0.2	0.13139736031372717
10	ses-s1	2	40	1.5	0.2	0.19764443729885472
11	ses-s1	2	40	1.5	0.2	0.06685278629160504
12	ses-s1	2	40	1.5	0.2	0.12265673012344164
13	ses-s1	2	40	1.5	0.2	0.17660536686713008
14	ses-s1	2	40	1.5	0.2	0.11956998321003846
15	ses-s1	2	40	1.5	0.2	0.18323668020415748
16	ses-s1	2	40	1.5	0.2	0.16237043913280091
17	ses-s1	2	40	1.5	0.2	0.10405178197774025
18	ses-s1	2	40	1.5	0.2	0.16111918289622976
19	ses-s1	2	40	1.5	0.2	0.16629463492530233
20	ses-s1	2	40	1.5	0.2	0.18314708197381238
21	ses-s1	2	40	1.5	0.2	0.1109232367155903
22	ses-s1	2	40	1.5	0.2	0.0997160718791873
23	ses-s1	2	40	1.5	0.2	0.16385722959119006
0	ses-s1	2	40	1.5	0.5	0.1364056935057448
1	ses-s1	2	40	1.5	0.5	0.11851774028774995
2	ses-s1	2	40	1.5	0.5	0.07392702798415984
3	ses-s1	2	40	1.5	0.5	0.2710081248098481
4	ses-s1	2	40	1.5	0.5	0.13983765789347244
5	ses-s1	2	40	1.5	0.5	0.17944076885862986
6	ses-s1	2	40	1.5	0.5	0.23929812453145446
7	ses-s1	2	40	1.5	0.5	0.14674310215769584
8	ses-s1	2	40	1.5	0.5	0.10822965000287395
9	ses-s1	2	40	1.5	0.5	0.13800896707002272
10	ses-s1	2	40	1.5	0.5	0.2076923415866146
11	ses-s1	2	40	1.5	0.5	0.06740583095791744
12	ses-s1	2	40	1.5	0.5	0.12802587099632293
13	ses-s1	2	40	1.5	0.5	0.1850961151330573
14	ses-s1	2	40	1.5	0.5	0.12573911285092762
15	ses-s1	2	40	1.5	0.5	0.19043268634803254
16	ses-s1	2	40	1.5	0.5	0.16723178836928926
17	ses-s1	2	40	1.5	0.5	0.11540842243911392
18	ses-s1	2	40	1.5	0.5	0.16527411675399117
19	ses-s1	2	40	1.5	0.5	0.17311259459489448
20	ses-s1	2	40	1.5	0.5	0.1872748295183083
21	ses-s1	2	40	1.5	0.5	0.11828463002931384
22	ses-s1	2	40	1.5	0.5	0.10929444194194027
23	ses-s1	2	40	1.5	0.5	0.16624771964311902
0	ses-s1	2	40	1.5	0.8	0.14046043200155392
1	ses-s1	2	40	1.5	0.8	0.1251236410484285
2	ses-s1	2	40	1.5	0.8	0.07569312361552186
3	ses-s1	2	40	1.5	0.8	0.29130305679211116
4	ses-s1	2	40	1.5	0.8	0.14225041455191684
5	ses-s1	2	40	1.5	0.8	0.18470387591856346
6	ses-s1	2	40	1.5	0.8	0.24288851027794645
7	ses-s1	2	40	1.5	0.8	0.15621111534350032
8	ses-s1	2	40	1.5	0.8	0.10788772027093178
9	ses-s1	2	40	1.5	0.8	0.1432402747542059
10	ses-s1	2	40	1.5	0.8	0.2218573480500168
11	ses-s1	2	40	1.5	0.8	0.06769069910530508
12	ses-s1	2	40	1.5	0.8	0.13271870667246008
13	ses-s1	2	40	1.5	0.8	0.1936651311441003
14	ses-s1	2	40	1.5	0.8	0.13048943011063813
15	ses-s1	2	40	1.5	0.8	0.19663928166109756
16	ses-s1	2	40	1.5	0.8	0.17036780455818296
17	ses-s1	2	40	1.5	0.8	0.12629945347742746
18	ses-s1	2	40	1.5	0.8	0.17006749209818495
19	ses-s1	2	40	1.5	0.8	0.17822589875252495
20	ses-s1	2	40	1.5	0.8	0.1888109419841966
21	ses-s1	2	40	1.5	0.8	0.1258348047925577
22	ses-s1	2	40	1.5	0.8	0.11558710862432396
23	ses-s1	2	40	1.5	0.8	0.16955249834956954
0	ses-s1	2	40	1.5	1.0	0.14241956409322415
