sn	num_runs	num_cond	kappa_true	kappa_indiv	kappa_group
0	2	5	1	2.279723107134816	7.793872795903908
1	2	5	5	6.4232267416723134	7.793872795903908
2	2	5	10	11.527070057604504	7.793872795903908
3	2	5	15	16.355156488278634	7.793872795903908
4	2	5	20	22.28088554789512	7.793872795903908
0	3	5	1	2.296536808130815	7.724635886597068
1	3	5	5	6.785319309767272	7.724635886597068
2	3	5	10	11.504614162029485	7.724635886597068
3	3	5	15	16.39958741382494	7.724635886597068
4	3	5	20	21.477992784688333	7.724635886597068
0	4	5	1	2.248321651227513	7.670793430965794
1	4	5	5	6.693738537604139	7.670793430965794
2	4	5	10	11.44593545172807	7.670793430965794
3	4	5	15	16.50532199796167	7.670793430965794
4	4	5	20	21.601019081045756	7.670793430965794
0	5	5	1	2.386416423475332	7.647992031061835
1	5	5	5	6.592689107045404	7.647992031061835
2	5	5	10	11.528301677707134	7.647992031061835
3	5	5	15	16.57517935245623	7.647992031061835
4	5	5	20	21.426021292652827	7.647992031061835
0	6	5	1	2.3181408699044788	7.54799814342901
1	6	5	5	6.419720416076637	7.54799814342901
2	6	5	10	11.483468119022696	7.54799814342901
3	6	5	15	16.41528976149226	7.54799814342901
4	6	5	20	21.48447230202775	7.54799814342901
0	7	5	1	2.301613060885569	7.558144773030542
1	7	5	5	6.5970118118892405	7.558144773030542
2	7	5	10	11.58478925960547	7.558144773030542
3	7	5	15	16.379774028445933	7.558144773030542
4	7	5	20	21.51969773566164	7.558144773030542
0	8	5	1	2.271362228676585	7.442352466720804
1	8	5	5	6.375917413026507	7.442352466720804
2	8	5	10	11.421623008020202	7.442352466720804
3	8	5	15	16.489066518560982	7.442352466720804
4	8	5	20	21.171311617141818	7.442352466720804
0	9	5	1	2.2735338753647376	7.497946744240476
1	9	5	5	6.574083229011704	7.497946744240476
2	9	5	10	11.466227551268297	7.497946744240476
3	9	5	15	16.62136702248489	7.497946744240476
4	9	5	20	21.642050457602707	7.497946744240476
0	10	5	1	2.23722311659257	7.499663589281648
1	10	5	5	6.549145677695177	7.499663589281648
2	10	5	10	11.732211335105088	7.499663589281648
3	10	5	15	16.64725479556575	7.499663589281648
4	10	5	20	21.483436428028345	7.499663589281648
