subject	parcel	z_value	domain	contrast_name	dtype
14	PM-PPr	-0.22724438	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
15	PM-PPr	-0.18186148	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
2	dATN-B	-0.07876986	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
3	dATN-B	-0.17234123	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
4	dATN-B	0.16266689	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
6	dATN-B	0.2854946	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
7	dATN-B	0.18885706	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
8	dATN-B	0.115540266	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
9	dATN-B	-0.28115678	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
12	dATN-B	0.27778122	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
13	dATN-B	0.070951685	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
14	dATN-B	-0.4845812	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
15	dATN-B	0.49629653	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
2	SMOT-A	0.0060528303	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
3	SMOT-A	0.092562385	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
4	SMOT-A	-0.35259622	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
6	SMOT-A	0.06319805	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
7	SMOT-A	-0.32285863	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
8	SMOT-A	0.38008705	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
9	SMOT-A	0.2036794	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
12	SMOT-A	-0.58881307	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
13	SMOT-A	0.84957606	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
14	SMOT-A	-0.0613435	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
15	SMOT-A	-0.019435722	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
2	LANG	1.5676925	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
3	LANG	1.3540264	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
4	LANG	1.3334816	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
6	LANG	1.584312	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
7	LANG	1.7308936	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
8	LANG	1.1076288	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
9	LANG	0.59702957	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
12	LANG	1.8641587	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
13	LANG	1.4380515	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
14	LANG	1.2687701	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
15	LANG	1.2350247	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
2	FPN-B	-0.29441896	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
3	FPN-B	0.1647004	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
4	FPN-B	0.5283618	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
6	FPN-B	0.3890587	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
7	FPN-B	0.68111056	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
8	FPN-B	0.30004585	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
9	FPN-B	0.31891322	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
12	FPN-B	0.049557995	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
13	FPN-B	0.9439855	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
14	FPN-B	-0.113715395	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
15	FPN-B	0.11376323	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
2	FPN-A	-1.906815	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
3	FPN-A	-1.1398096	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
4	FPN-A	-0.919485	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
6	FPN-A	-1.5085118	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
7	FPN-A	-1.1981108	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
8	FPN-A	-0.95876724	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
9	FPN-A	-1.0763617	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
12	FPN-A	-1.9838934	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
13	FPN-A	-1.9691519	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
14	FPN-A	-1.4090039	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
15	FPN-A	-1.2833906	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
2	dATN-A	-1.4320599	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
3	dATN-A	-1.040378	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
4	dATN-A	-1.675732	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
6	dATN-A	-2.2802014	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
7	dATN-A	-1.830401	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
8	dATN-A	-1.1630841	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
9	dATN-A	-1.2733942	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
12	dATN-A	-1.4702272	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
13	dATN-A	-2.2661526	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
14	dATN-A	-1.4613092	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
15	dATN-A	-1.2272848	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
2	VIS-C	-0.038801014	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
3	VIS-C	-0.12706631	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
4	VIS-C	-0.2882652	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
6	VIS-C	-0.07881697	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
7	VIS-C	-0.077211924	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
8	VIS-C	-0.3575162	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
9	VIS-C	-0.11487147	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
12	VIS-C	-0.13383573	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
13	VIS-C	-0.48896274	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
14	VIS-C	-0.15489745	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
15	VIS-C	0.051213596	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
2	SAL/PMN	-0.76091564	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
3	SAL/PMN	-0.07404728	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
4	SAL/PMN	-0.24590652	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
6	SAL/PMN	-0.83294135	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
7	SAL/PMN	0.034625974	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
8	SAL/PMN	-0.35905272	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
9	SAL/PMN	-0.15258801	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
12	SAL/PMN	-0.7947559	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
13	SAL/PMN	-0.42520812	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
14	SAL/PMN	-0.44042826	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
15	SAL/PMN	-1.0274638	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
2	DN-A	-0.37304005	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
3	DN-A	0.4574657	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
4	DN-A	0.40818286	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
6	DN-A	0.78537124	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
7	DN-A	0.34999165	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
8	DN-A	0.016289879	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
9	DN-A	0.69506997	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
12	DN-A	1.3061309	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
13	DN-A	0.105312146	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
14	DN-A	0.29943374	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
15	DN-A	0.7054281	Theory_of_Mind	EMOmPHYS+BELmPHO	rest
