subject	parcel	z_value	domain	contrast_name	dtype
13	SMOT-A	0.6017254	Visual	ECC1mECC2+3	rest
14	SMOT-A	0.23139031	Visual	ECC1mECC2+3	rest
15	SMOT-A	-0.07512332	Visual	ECC1mECC2+3	rest
2	LANG	0.7112556	Visual	ECC1mECC2+3	rest
3	LANG	0.7472795	Visual	ECC1mECC2+3	rest
4	LANG	0.6422551	Visual	ECC1mECC2+3	rest
6	LANG	0.8110363	Visual	ECC1mECC2+3	rest
7	LANG	1.3450415	Visual	ECC1mECC2+3	rest
8	LANG	-0.04399637	Visual	ECC1mECC2+3	rest
9	LANG	0.9048477	Visual	ECC1mECC2+3	rest
12	LANG	0.56830966	Visual	ECC1mECC2+3	rest
13	LANG	0.40707034	Visual	ECC1mECC2+3	rest
14	LANG	0.7340291	Visual	ECC1mECC2+3	rest
15	LANG	0.36812764	Visual	ECC1mECC2+3	rest
2	FPN-B	1.3568355	Visual	ECC1mECC2+3	rest
3	FPN-B	0.5469475	Visual	ECC1mECC2+3	rest
4	FPN-B	0.73341227	Visual	ECC1mECC2+3	rest
6	FPN-B	2.3287406	Visual	ECC1mECC2+3	rest
7	FPN-B	-0.33402088	Visual	ECC1mECC2+3	rest
8	FPN-B	1.6426309	Visual	ECC1mECC2+3	rest
9	FPN-B	2.274396	Visual	ECC1mECC2+3	rest
12	FPN-B	0.037073422	Visual	ECC1mECC2+3	rest
13	FPN-B	1.6705585	Visual	ECC1mECC2+3	rest
14	FPN-B	1.4741572	Visual	ECC1mECC2+3	rest
15	FPN-B	1.4965591	Visual	ECC1mECC2+3	rest
2	FPN-A	1.6414146	Visual	ECC1mECC2+3	rest
3	FPN-A	0.054241978	Visual	ECC1mECC2+3	rest
4	FPN-A	0.4455968	Visual	ECC1mECC2+3	rest
6	FPN-A	1.4652033	Visual	ECC1mECC2+3	rest
7	FPN-A	-0.19429022	Visual	ECC1mECC2+3	rest
8	FPN-A	2.5962713	Visual	ECC1mECC2+3	rest
9	FPN-A	0.4612173	Visual	ECC1mECC2+3	rest
12	FPN-A	0.27981853	Visual	ECC1mECC2+3	rest
13	FPN-A	0.24985975	Visual	ECC1mECC2+3	rest
14	FPN-A	1.3730313	Visual	ECC1mECC2+3	rest
15	FPN-A	1.7714242	Visual	ECC1mECC2+3	rest
2	dATN-A	-0.018905366	Visual	ECC1mECC2+3	rest
3	dATN-A	0.46923676	Visual	ECC1mECC2+3	rest
4	dATN-A	0.56418294	Visual	ECC1mECC2+3	rest
6	dATN-A	-0.33817357	Visual	ECC1mECC2+3	rest
7	dATN-A	0.724244	Visual	ECC1mECC2+3	rest
8	dATN-A	1.8432088	Visual	ECC1mECC2+3	rest
9	dATN-A	-0.002518047	Visual	ECC1mECC2+3	rest
12	dATN-A	0.23402591	Visual	ECC1mECC2+3	rest
13	dATN-A	0.12304862	Visual	ECC1mECC2+3	rest
14	dATN-A	1.0251718	Visual	ECC1mECC2+3	rest
15	dATN-A	0.5351643	Visual	ECC1mECC2+3	rest
2	VIS-C	1.7411019	Visual	ECC1mECC2+3	rest
3	VIS-C	1.1874633	Visual	ECC1mECC2+3	rest
4	VIS-C	0.6206854	Visual	ECC1mECC2+3	rest
6	VIS-C	1.1247604	Visual	ECC1mECC2+3	rest
7	VIS-C	1.7101372	Visual	ECC1mECC2+3	rest
