subject	parcel	z_value	domain	contrast_name	dtype
7	LANG	-0.6010292	Motor	TONGUEmALL	rest
8	LANG	-3.68847	Motor	TONGUEmALL	rest
9	LANG	0.20301692	Motor	TONGUEmALL	rest
12	LANG	1.0050505	Motor	TONGUEmALL	rest
13	LANG	-4.766138	Motor	TONGUEmALL	rest
14	LANG	0.34788644	Motor	TONGUEmALL	rest
15	LANG	-1.5201831	Motor	TONGUEmALL	rest
2	FPN-B	4.8524323	Motor	TONGUEmALL	rest
3	FPN-B	1.5117648	Motor	TONGUEmALL	rest
4	FPN-B	3.7632833	Motor	TONGUEmALL	rest
6	FPN-B	-2.61749	Motor	TONGUEmALL	rest
7	FPN-B	0.8921403	Motor	TONGUEmALL	rest
8	FPN-B	1.5217564	Motor	TONGUEmALL	rest
9	FPN-B	3.406835	Motor	TONGUEmALL	rest
12	FPN-B	1.8611652	Motor	TONGUEmALL	rest
13	FPN-B	-1.1846901	Motor	TONGUEmALL	rest
14	FPN-B	0.12666133	Motor	TONGUEmALL	rest
15	FPN-B	-0.057182346	Motor	TONGUEmALL	rest
2	FPN-A	2.4951458	Motor	TONGUEmALL	rest
3	FPN-A	-1.7220074	Motor	TONGUEmALL	rest
4	FPN-A	5.2437415	Motor	TONGUEmALL	rest
6	FPN-A	-1.0133862	Motor	TONGUEmALL	rest
7	FPN-A	1.245162	Motor	TONGUEmALL	rest
8	FPN-A	3.7799685	Motor	TONGUEmALL	rest
9	FPN-A	-1.8537027	Motor	TONGUEmALL	rest
12	FPN-A	0.5685673	Motor	TONGUEmALL	rest
13	FPN-A	2.2718227	Motor	TONGUEmALL	rest
14	FPN-A	1.3104055	Motor	TONGUEmALL	rest
15	FPN-A	0.338482	Motor	TONGUEmALL	rest
2	dATN-A	-1.0766053	Motor	TONGUEmALL	rest
3	dATN-A	-1.6884491	Motor	TONGUEmALL	rest
4	dATN-A	-1.0493015	Motor	TONGUEmALL	rest
6	dATN-A	5.878602	Motor	TONGUEmALL	rest
7	dATN-A	1.8268219	Motor	TONGUEmALL	rest
8	dATN-A	6.866858	Motor	TONGUEmALL	rest
9	dATN-A	-2.4663343	Motor	TONGUEmALL	rest
12	dATN-A	-0.25379357	Motor	TONGUEmALL	rest
13	dATN-A	-0.2623406	Motor	TONGUEmALL	rest
14	dATN-A	0.124890976	Motor	TONGUEmALL	rest
15	dATN-A	2.1001835	Motor	TONGUEmALL	rest
2	VIS-C	-1.924651	Motor	TONGUEmALL	rest
3	VIS-C	0.1361176	Motor	TONGUEmALL	rest
4	VIS-C	3.3465676	Motor	TONGUEmALL	rest
6	VIS-C	-2.9020674	Motor	TONGUEmALL	rest
7	VIS-C	-8.451191	Motor	TONGUEmALL	rest
8	VIS-C	-5.1638017	Motor	TONGUEmALL	rest
9	VIS-C	-8.300701	Motor	TONGUEmALL	rest
12	VIS-C	0.009697794	Motor	TONGUEmALL	rest
13	VIS-C	-3.5637472	Motor	TONGUEmALL	rest
14	VIS-C	-6.5149016	Motor	TONGUEmALL	rest
15	VIS-C	-7.8198805	Motor	TONGUEmALL	rest
2	SAL/PMN	3.7534394	Motor	TONGUEmALL	rest
3	SAL/PMN	3.1231382	Motor	TONGUEmALL	rest
4	SAL/PMN	3.7233863	Motor	TONGUEmALL	rest
6	SAL/PMN	1.6790252	Motor	TONGUEmALL	rest
7	SAL/PMN	5.340737	Motor	TONGUEmALL	rest
8	SAL/PMN	7.325146	Motor	TONGUEmALL	rest
9	SAL/PMN	2.6288397	Motor	TONGUEmALL	rest
12	SAL/PMN	2.8974166	Motor	TONGUEmALL	rest
13	SAL/PMN	2.611983	Motor	TONGUEmALL	rest
14	SAL/PMN	1.7752442	Motor	TONGUEmALL	rest
15	SAL/PMN	-0.5334403	Motor	TONGUEmALL	rest
2	DN-A	-0.12839025	Motor	TONGUEmALL	rest
3	DN-A	0.4633209	Motor	TONGUEmALL	rest
4	DN-A	1.1823535	Motor	TONGUEmALL	rest
6	DN-A	-1.5564991	Motor	TONGUEmALL	rest
7	DN-A	-0.98562545	Motor	TONGUEmALL	rest
8	DN-A	-2.1850028	Motor	TONGUEmALL	rest
9	DN-A	-1.6035683	Motor	TONGUEmALL	rest
12	DN-A	1.4153937	Motor	TONGUEmALL	rest
13	DN-A	-0.16103159	Motor	TONGUEmALL	rest
14	DN-A	-0.61097986	Motor	TONGUEmALL	rest
15	DN-A	-2.028303	Motor	TONGUEmALL	rest
2	VIS-P	-7.8813367	Motor	TONGUEmALL	fusion
3	VIS-P	0.07557425	Motor	TONGUEmALL	fusion
4	VIS-P	-3.013261	Motor	TONGUEmALL	fusion
6	VIS-P	1.5853779	Motor	TONGUEmALL	fusion
7	VIS-P	-0.26611316	Motor	TONGUEmALL	fusion
8	VIS-P	-3.2766125	Motor	TONGUEmALL	fusion
9	VIS-P	0.21002753	Motor	TONGUEmALL	fusion
12	VIS-P	-2.931271	Motor	TONGUEmALL	fusion
13	VIS-P	-2.1003797	Motor	TONGUEmALL	fusion
14	VIS-P	-0.3031888	Motor	TONGUEmALL	fusion
15	VIS-P	-2.7783723	Motor	TONGUEmALL	fusion
2	CG-OP	0.38051796	Motor	TONGUEmALL	fusion
3	CG-OP	1.2812419	Motor	TONGUEmALL	fusion
4	CG-OP	-2.1026673	Motor	TONGUEmALL	fusion
6	CG-OP	6.964204	Motor	TONGUEmALL	fusion
7	CG-OP	2.9732997	Motor	TONGUEmALL	fusion
8	CG-OP	7.4340796	Motor	TONGUEmALL	fusion
9	CG-OP	-4.1388845	Motor	TONGUEmALL	fusion
12	CG-OP	-2.4777617	Motor	TONGUEmALL	fusion
13	CG-OP	-0.27239743	Motor	TONGUEmALL	fusion
14	CG-OP	-0.056528173	Motor	TONGUEmALL	fusion
15	CG-OP	2.4507124	Motor	TONGUEmALL	fusion
2	DN-B	4.6388416	Motor	TONGUEmALL	fusion
3	DN-B	2.4842741	Motor	TONGUEmALL	fusion
4	DN-B	5.910493	Motor	TONGUEmALL	fusion
6	DN-B	-3.6184535	Motor	TONGUEmALL	fusion
7	DN-B	-0.22118285	Motor	TONGUEmALL	fusion
8	DN-B	-2.5280135	Motor	TONGUEmALL	fusion
9	DN-B	3.0718188	Motor	TONGUEmALL	fusion
12	DN-B	3.175819	Motor	TONGUEmALL	fusion
13	DN-B	-0.8283732	Motor	TONGUEmALL	fusion
14	DN-B	1.8676388	Motor	TONGUEmALL	fusion
15	DN-B	-2.4572742	Motor	TONGUEmALL	fusion
2	SMOT-B	24.549849	Motor	TONGUEmALL	fusion
3	SMOT-B	26.536064	Motor	TONGUEmALL	fusion
4	SMOT-B	16.3912	Motor	TONGUEmALL	fusion
6	SMOT-B	23.5442	Motor	TONGUEmALL	fusion
7	SMOT-B	23.225237	Motor	TONGUEmALL	fusion
8	SMOT-B	30.371601	Motor	TONGUEmALL	fusion
9	SMOT-B	24.979866	Motor	TONGUEmALL	fusion
12	SMOT-B	19.501062	Motor	TONGUEmALL	fusion
13	SMOT-B	16.876345	Motor	TONGUEmALL	fusion
14	SMOT-B	13.18029	Motor	TONGUEmALL	fusion
15	SMOT-B	25.835167	Motor	TONGUEmALL	fusion
2	AUD	1.1263936	Motor	TONGUEmALL	fusion
3	AUD	2.9489079	Motor	TONGUEmALL	fusion
4	AUD	1.005596	Motor	TONGUEmALL	fusion
6	AUD	-0.8311028	Motor	TONGUEmALL	fusion
7	AUD	-0.31215772	Motor	TONGUEmALL	fusion
8	AUD	-1.0807581	Motor	TONGUEmALL	fusion
9	AUD	-0.6617377	Motor	TONGUEmALL	fusion
12	AUD	-0.26844093	Motor	TONGUEmALL	fusion
13	AUD	-0.4844579	Motor	TONGUEmALL	fusion
14	AUD	-0.50517064	Motor	TONGUEmALL	fusion
15	AUD	-0.9616693	Motor	TONGUEmALL	fusion
2	PM-PPr	-4.989544	Motor	TONGUEmALL	fusion
3	PM-PPr	2.2177382	Motor	TONGUEmALL	fusion
4	PM-PPr	-0.5598063	Motor	TONGUEmALL	fusion
6	PM-PPr	11.348291	Motor	TONGUEmALL	fusion
7	PM-PPr	10.706287	Motor	TONGUEmALL	fusion
8	PM-PPr	14.331117	Motor	TONGUEmALL	fusion
9	PM-PPr	-0.16576464	Motor	TONGUEmALL	fusion
12	PM-PPr	2.3638954	Motor	TONGUEmALL	fusion
13	PM-PPr	0.2633183	Motor	TONGUEmALL	fusion
14	PM-PPr	0.8157786	Motor	TONGUEmALL	fusion
15	PM-PPr	9.872036	Motor	TONGUEmALL	fusion
2	dATN-B	-6.3842716	Motor	TONGUEmALL	fusion
3	dATN-B	-2.4248993	Motor	TONGUEmALL	fusion
4	dATN-B	-1.5635428	Motor	TONGUEmALL	fusion
6	dATN-B	-0.72492033	Motor	TONGUEmALL	fusion
7	dATN-B	-2.654666	Motor	TONGUEmALL	fusion
8	dATN-B	-4.321455	Motor	TONGUEmALL	fusion
9	dATN-B	-1.9061776	Motor	TONGUEmALL	fusion
12	dATN-B	-2.668648	Motor	TONGUEmALL	fusion
13	dATN-B	-5.736607	Motor	TONGUEmALL	fusion
14	dATN-B	-2.2515905	Motor	TONGUEmALL	fusion
15	dATN-B	-2.0575006	Motor	TONGUEmALL	fusion
2	SMOT-A	-6.3580103	Motor	TONGUEmALL	fusion
3	SMOT-A	-2.7518425	Motor	TONGUEmALL	fusion
4	SMOT-A	0.86944	Motor	TONGUEmALL	fusion
6	SMOT-A	-6.3360023	Motor	TONGUEmALL	fusion
7	SMOT-A	-7.6943207	Motor	TONGUEmALL	fusion
8	SMOT-A	-1.9000703	Motor	TONGUEmALL	fusion
9	SMOT-A	0.757357	Motor	TONGUEmALL	fusion
12	SMOT-A	-1.231618	Motor	TONGUEmALL	fusion
13	SMOT-A	-5.67251	Motor	TONGUEmALL	fusion
14	SMOT-A	0.5866628	Motor	TONGUEmALL	fusion
15	SMOT-A	4.01287	Motor	TONGUEmALL	fusion
2	LANG	2.700181	Motor	TONGUEmALL	fusion
3	LANG	1.269467	Motor	TONGUEmALL	fusion
4	LANG	2.0489166	Motor	TONGUEmALL	fusion
6	LANG	-1.799134	Motor	TONGUEmALL	fusion
7	LANG	-0.36841035	Motor	TONGUEmALL	fusion
8	LANG	-3.46386	Motor	TONGUEmALL	fusion
9	LANG	-0.17063749	Motor	TONGUEmALL	fusion
12	LANG	0.7744809	Motor	TONGUEmALL	fusion
13	LANG	-4.71151	Motor	TONGUEmALL	fusion
14	LANG	0.22913194	Motor	TONGUEmALL	fusion
15	LANG	-1.8772259	Motor	TONGUEmALL	fusion
2	FPN-B	4.345883	Motor	TONGUEmALL	fusion
3	FPN-B	1.474833	Motor	TONGUEmALL	fusion
4	FPN-B	3.691788	Motor	TONGUEmALL	fusion
6	FPN-B	-2.3480315	Motor	TONGUEmALL	fusion
7	FPN-B	0.42589524	Motor	TONGUEmALL	fusion
8	FPN-B	2.1838143	Motor	TONGUEmALL	fusion
9	FPN-B	3.1948555	Motor	TONGUEmALL	fusion
12	FPN-B	1.5826286	Motor	TONGUEmALL	fusion
13	FPN-B	-1.3354478	Motor	TONGUEmALL	fusion
14	FPN-B	-0.20529827	Motor	TONGUEmALL	fusion
15	FPN-B	-0.9841218	Motor	TONGUEmALL	fusion
2	FPN-A	2.5564144	Motor	TONGUEmALL	fusion
3	FPN-A	-1.4564642	Motor	TONGUEmALL	fusion
4	FPN-A	5.307905	Motor	TONGUEmALL	fusion
6	FPN-A	-0.9149964	Motor	TONGUEmALL	fusion
7	FPN-A	1.6989	Motor	TONGUEmALL	fusion
8	FPN-A	3.52891	Motor	TONGUEmALL	fusion
9	FPN-A	-1.3909124	Motor	TONGUEmALL	fusion
12	FPN-A	0.70196915	Motor	TONGUEmALL	fusion
13	FPN-A	2.229716	Motor	TONGUEmALL	fusion
14	FPN-A	1.3492709	Motor	TONGUEmALL	fusion
15	FPN-A	0.6047989	Motor	TONGUEmALL	fusion
2	dATN-A	-0.76838005	Motor	TONGUEmALL	fusion
3	dATN-A	-2.3140192	Motor	TONGUEmALL	fusion
4	dATN-A	-0.7912761	Motor	TONGUEmALL	fusion
6	dATN-A	4.946501	Motor	TONGUEmALL	fusion
7	dATN-A	1.556004	Motor	TONGUEmALL	fusion
8	dATN-A	5.8484707	Motor	TONGUEmALL	fusion
9	dATN-A	-1.6723666	Motor	TONGUEmALL	fusion
12	dATN-A	0.0036352223	Motor	TONGUEmALL	fusion
13	dATN-A	-0.34446648	Motor	TONGUEmALL	fusion
14	dATN-A	-0.029725753	Motor	TONGUEmALL	fusion
15	dATN-A	1.8316154	Motor	TONGUEmALL	fusion
2	VIS-C	-3.3263707	Motor	TONGUEmALL	fusion
3	VIS-C	-0.9232361	Motor	TONGUEmALL	fusion
4	VIS-C	3.0305007	Motor	TONGUEmALL	fusion
6	VIS-C	-3.806658	Motor	TONGUEmALL	fusion
7	VIS-C	-11.783121	Motor	TONGUEmALL	fusion
8	VIS-C	-7.121332	Motor	TONGUEmALL	fusion
