subject	parcel	z_value	domain	contrast_name	dtype
3	SMOT-A	-0.15616472	Sentence_Processing	SENTmCTRL	rest
4	SMOT-A	0.3311539	Sentence_Processing	SENTmCTRL	rest
6	SMOT-A	0.63868135	Sentence_Processing	SENTmCTRL	rest
7	SMOT-A	0.016012648	Sentence_Processing	SENTmCTRL	rest
8	SMOT-A	0.40690285	Sentence_Processing	SENTmCTRL	rest
9	SMOT-A	1.8343252	Sentence_Processing	SENTmCTRL	rest
12	SMOT-A	0.6161238	Sentence_Processing	SENTmCTRL	rest
13	SMOT-A	0.9644923	Sentence_Processing	SENTmCTRL	rest
14	SMOT-A	-0.7518205	Sentence_Processing	SENTmCTRL	rest
15	SMOT-A	0.06097656	Sentence_Processing	SENTmCTRL	rest
2	LANG	3.1579328	Sentence_Processing	SENTmCTRL	rest
3	LANG	1.9185969	Sentence_Processing	SENTmCTRL	rest
4	LANG	1.4815291	Sentence_Processing	SENTmCTRL	rest
6	LANG	4.496442	Sentence_Processing	SENTmCTRL	rest
7	LANG	1.7902064	Sentence_Processing	SENTmCTRL	rest
8	LANG	3.0429351	Sentence_Processing	SENTmCTRL	rest
9	LANG	1.802606	Sentence_Processing	SENTmCTRL	rest
12	LANG	1.5227853	Sentence_Processing	SENTmCTRL	rest
13	LANG	1.4334444	Sentence_Processing	SENTmCTRL	rest
14	LANG	1.3147665	Sentence_Processing	SENTmCTRL	rest
15	LANG	2.1522279	Sentence_Processing	SENTmCTRL	rest
2	FPN-B	-1.0862839	Sentence_Processing	SENTmCTRL	rest
3	FPN-B	-1.2447077	Sentence_Processing	SENTmCTRL	rest
4	FPN-B	-1.7722633	Sentence_Processing	SENTmCTRL	rest
6	FPN-B	-1.8723673	Sentence_Processing	SENTmCTRL	rest
7	FPN-B	-0.6469684	Sentence_Processing	SENTmCTRL	rest
8	FPN-B	-1.6531457	Sentence_Processing	SENTmCTRL	rest
9	FPN-B	-1.2652842	Sentence_Processing	SENTmCTRL	rest
12	FPN-B	-2.017154	Sentence_Processing	SENTmCTRL	rest
13	FPN-B	-1.9487088	Sentence_Processing	SENTmCTRL	rest
14	FPN-B	-0.5735248	Sentence_Processing	SENTmCTRL	rest
15	FPN-B	-1.3077679	Sentence_Processing	SENTmCTRL	rest
2	FPN-A	-1.7243327	Sentence_Processing	SENTmCTRL	rest
3	FPN-A	-0.93974346	Sentence_Processing	SENTmCTRL	rest
4	FPN-A	-2.3784606	Sentence_Processing	SENTmCTRL	rest
6	FPN-A	-1.6266589	Sentence_Processing	SENTmCTRL	rest
7	FPN-A	-1.149293	Sentence_Processing	SENTmCTRL	rest
8	FPN-A	-3.991564	Sentence_Processing	SENTmCTRL	rest
9	FPN-A	-0.6663262	Sentence_Processing	SENTmCTRL	rest
12	FPN-A	-1.3911074	Sentence_Processing	SENTmCTRL	rest
13	FPN-A	-2.1440625	Sentence_Processing	SENTmCTRL	rest
14	FPN-A	-0.5849665	Sentence_Processing	SENTmCTRL	rest
15	FPN-A	-0.3874068	Sentence_Processing	SENTmCTRL	rest
2	dATN-A	-1.5785458	Sentence_Processing	SENTmCTRL	rest
3	dATN-A	-1.1759533	Sentence_Processing	SENTmCTRL	rest
4	dATN-A	-0.9857865	Sentence_Processing	SENTmCTRL	rest
6	dATN-A	-2.08849	Sentence_Processing	SENTmCTRL	rest
7	dATN-A	-1.1763296	Sentence_Processing	SENTmCTRL	rest
8	dATN-A	-1.6274434	Sentence_Processing	SENTmCTRL	rest
9	dATN-A	-0.9958208	Sentence_Processing	SENTmCTRL	rest
12	dATN-A	-1.0399033	Sentence_Processing	SENTmCTRL	rest
13	dATN-A	-0.6910694	Sentence_Processing	SENTmCTRL	rest
14	dATN-A	-0.29598516	Sentence_Processing	SENTmCTRL	rest
15	dATN-A	0.34773195	Sentence_Processing	SENTmCTRL	rest
2	VIS-C	0.06836329	Sentence_Processing	SENTmCTRL	rest
3	VIS-C	0.3861674	Sentence_Processing	SENTmCTRL	rest
4	VIS-C	0.119107276	Sentence_Processing	SENTmCTRL	rest
6	VIS-C	0.31702605	Sentence_Processing	SENTmCTRL	rest
7	VIS-C	0.08407265	Sentence_Processing	SENTmCTRL	rest
8	VIS-C	0.4439366	Sentence_Processing	SENTmCTRL	rest
9	VIS-C	-0.21272	Sentence_Processing	SENTmCTRL	rest
12	VIS-C	0.04843786	Sentence_Processing	SENTmCTRL	rest
13	VIS-C	-0.18579109	Sentence_Processing	SENTmCTRL	rest
14	VIS-C	-0.0055215904	Sentence_Processing	SENTmCTRL	rest
15	VIS-C	-0.0026729747	Sentence_Processing	SENTmCTRL	rest
2	SAL/PMN	-1.858802	Sentence_Processing	SENTmCTRL	rest
3	SAL/PMN	-1.4222127	Sentence_Processing	SENTmCTRL	rest
4	SAL/PMN	-1.4265789	Sentence_Processing	SENTmCTRL	rest
6	SAL/PMN	-2.7366328	Sentence_Processing	SENTmCTRL	rest
7	SAL/PMN	-0.57149875	Sentence_Processing	SENTmCTRL	rest
8	SAL/PMN	-1.6485748	Sentence_Processing	SENTmCTRL	rest
9	SAL/PMN	-1.7864959	Sentence_Processing	SENTmCTRL	rest
12	SAL/PMN	-2.3375645	Sentence_Processing	SENTmCTRL	rest
13	SAL/PMN	-1.3335873	Sentence_Processing	SENTmCTRL	rest
14	SAL/PMN	-0.5028417	Sentence_Processing	SENTmCTRL	rest
