atlas	K	networks	subj	dice	type	strength	spatial_w	first_run	second_run	w/b
fs32k	15	all	8	0.6351689696311951	rest	10	0	1	9	within
fs32k	15	all	9	0.6403170824050903	rest	10	0	1	9	within
fs32k	15	all	10	0.6398788690567017	rest	10	0	1	9	within
fs32k	15	all	11	0.5658101439476013	rest	10	0	1	9	within
fs32k	15	all	1	0.634928822517395	rest	10	0	1	10	within
fs32k	15	all	2	0.6753363013267517	rest	10	0	1	10	within
fs32k	15	all	3	0.6398152709007263	rest	10	0	1	10	within
fs32k	15	all	4	0.6982081532478333	rest	10	0	1	10	within
fs32k	15	all	5	0.6960650682449341	rest	10	0	1	10	within
fs32k	15	all	6	0.641355037689209	rest	10	0	1	10	within
fs32k	15	all	7	0.6481978893280029	rest	10	0	1	10	within
fs32k	15	all	8	0.6301846504211426	rest	10	0	1	10	within
fs32k	15	all	9	0.6338021755218506	rest	10	0	1	10	within
fs32k	15	all	10	0.6541754007339478	rest	10	0	1	10	within
fs32k	15	all	11	0.5954478979110718	rest	10	0	1	10	within
fs32k	15	all	1	0.59762042760849	rest	10	0	1	11	within
fs32k	15	all	2	0.6459795832633972	rest	10	0	1	11	within
fs32k	15	all	3	0.5966584086418152	rest	10	0	1	11	within
fs32k	15	all	4	0.7021474838256836	rest	10	0	1	11	within
fs32k	15	all	5	0.674445629119873	rest	10	0	1	11	within
fs32k	15	all	6	0.6674957871437073	rest	10	0	1	11	within
fs32k	15	all	7	0.5761498212814331	rest	10	0	1	11	within
fs32k	15	all	8	0.644947350025177	rest	10	0	1	11	within
fs32k	15	all	9	0.6567963361740112	rest	10	0	1	11	within
fs32k	15	all	10	0.6238300800323486	rest	10	0	1	11	within
fs32k	15	all	11	0.6320494413375854	rest	10	0	1	11	within
fs32k	15	all	1	0.553778350353241	rest	10	0	1	12	within
fs32k	15	all	2	0.6463404297828674	rest	10	0	1	12	within
fs32k	15	all	3	0.6162460446357727	rest	10	0	1	12	within
fs32k	15	all	4	0.6675055623054504	rest	10	0	1	12	within
fs32k	15	all	5	0.6609516143798828	rest	10	0	1	12	within
fs32k	15	all	6	0.6395033597946167	rest	10	0	1	12	within
fs32k	15	all	7	0.6065539717674255	rest	10	0	1	12	within
fs32k	15	all	8	0.6476954221725464	rest	10	0	1	12	within
fs32k	15	all	9	0.6095444560050964	rest	10	0	1	12	within
fs32k	15	all	10	0.5887662172317505	rest	10	0	1	12	within
fs32k	15	all	11	0.6220712065696716	rest	10	0	1	12	within
fs32k	15	all	1	0.6104266047477722	rest	10	0	1	13	within
fs32k	15	all	2	0.5883309841156006	rest	10	0	1	13	within
fs32k	15	all	3	0.6193763613700867	rest	10	0	1	13	within
fs32k	15	all	4	0.638942539691925	rest	10	0	1	13	within
fs32k	15	all	5	0.7045503258705139	rest	10	0	1	13	within
fs32k	15	all	6	0.603225588798523	rest	10	0	1	13	within
fs32k	15	all	7	0.5789365172386169	rest	10	0	1	13	within
fs32k	15	all	8	0.6514175534248352	rest	10	0	1	13	within
fs32k	15	all	9	0.6092324256896973	rest	10	0	1	13	within
fs32k	15	all	10	0.6396047472953796	rest	10	0	1	13	within
fs32k	15	all	11	0.5774508714675903	rest	10	0	1	13	within
fs32k	15	all	1	0.618057131767273	rest	10	0	1	14	within
fs32k	15	all	2	0.6506166458129883	rest	10	0	1	14	within
fs32k	15	all	3	0.6434956192970276	rest	10	0	1	14	within
fs32k	15	all	4	0.6939189434051514	rest	10	0	1	14	within
fs32k	15	all	5	0.6686393618583679	rest	10	0	1	14	within
fs32k	15	all	6	0.6610172390937805	rest	10	0	1	14	within
fs32k	15	all	7	0.5962327718734741	rest	10	0	1	14	within
fs32k	15	all	8	0.631986141204834	rest	10	0	1	14	within
fs32k	15	all	9	0.5931071639060974	rest	10	0	1	14	within
fs32k	15	all	10	0.6116912364959717	rest	10	0	1	14	within
fs32k	15	all	11	0.5832894444465637	rest	10	0	1	14	within
fs32k	15	all	1	0.5923861265182495	rest	10	0	1	15	within
fs32k	15	all	2	0.5995444059371948	rest	10	0	1	15	within
fs32k	15	all	3	0.6342527270317078	rest	10	0	1	15	within
fs32k	15	all	4	0.7241965532302856	rest	10	0	1	15	within
fs32k	15	all	5	0.6536839008331299	rest	10	0	1	15	within
fs32k	15	all	6	0.6709387898445129	rest	10	0	1	15	within
fs32k	15	all	7	0.5955694317817688	rest	10	0	1	15	within
fs32k	15	all	8	0.6344667077064514	rest	10	0	1	15	within
fs32k	15	all	9	0.6471689939498901	rest	10	0	1	15	within
fs32k	15	all	10	0.641230046749115	rest	10	0	1	15	within
fs32k	15	all	11	0.6208034753799438	rest	10	0	1	15	within
fs32k	15	all	1	0.6483848690986633	rest	10	0	2	3	within
fs32k	15	all	2	0.6172787547111511	rest	10	0	2	3	within
fs32k	15	all	3	0.622948169708252	rest	10	0	2	3	within
fs32k	15	all	4	0.7322513461112976	rest	10	0	2	3	within
fs32k	15	all	5	0.6772187948226929	rest	10	0	2	3	within
fs32k	15	all	6	0.6364851593971252	rest	10	0	2	3	within
fs32k	15	all	7	0.6128280162811279	rest	10	0	2	3	within
fs32k	15	all	8	0.6480168104171753	rest	10	0	2	3	within
fs32k	15	all	9	0.6667162179946899	rest	10	0	2	3	within
fs32k	15	all	10	0.6226571202278137	rest	10	0	2	3	within
fs32k	15	all	11	0.655219554901123	rest	10	0	2	3	within
fs32k	15	all	1	0.6126134991645813	rest	10	0	2	4	within
fs32k	15	all	2	0.6692231893539429	rest	10	0	2	4	within
fs32k	15	all	3	0.6531484723091125	rest	10	0	2	4	within
fs32k	15	all	4	0.6986994743347168	rest	10	0	2	4	within
fs32k	15	all	5	0.6660462617874146	rest	10	0	2	4	within
fs32k	15	all	6	0.6706675291061401	rest	10	0	2	4	within
fs32k	15	all	7	0.5962700247764587	rest	10	0	2	4	within
fs32k	15	all	8	0.6536898016929626	rest	10	0	2	4	within
fs32k	15	all	9	0.6692553162574768	rest	10	0	2	4	within
fs32k	15	all	10	0.6247243285179138	rest	10	0	2	4	within
fs32k	15	all	11	0.648159384727478	rest	10	0	2	4	within
fs32k	15	all	1	0.6767575740814209	rest	10	0	2	5	within
fs32k	15	all	2	0.6600048542022705	rest	10	0	2	5	within
fs32k	15	all	3	0.6657990217208862	rest	10	0	2	5	within
fs32k	15	all	4	0.7000174522399902	rest	10	0	2	5	within
fs32k	15	all	5	0.676946222782135	rest	10	0	2	5	within
fs32k	15	all	6	0.6586037278175354	rest	10	0	2	5	within
fs32k	15	all	7	0.6040405631065369	rest	10	0	2	5	within
fs32k	15	all	8	0.6525393724441528	rest	10	0	2	5	within
fs32k	15	all	9	0.6591614484786987	rest	10	0	2	5	within
fs32k	15	all	10	0.6128198504447937	rest	10	0	2	5	within
fs32k	15	all	11	0.6191186308860779	rest	10	0	2	5	within
fs32k	15	all	1	0.6059224605560303	rest	10	0	2	6	within
fs32k	15	all	2	0.6432105302810669	rest	10	0	2	6	within
fs32k	15	all	3	0.6031715273857117	rest	10	0	2	6	within
fs32k	15	all	4	0.7182127237319946	rest	10	0	2	6	within
fs32k	15	all	5	0.6825727224349976	rest	10	0	2	6	within
fs32k	15	all	6	0.6109492182731628	rest	10	0	2	6	within
fs32k	15	all	7	0.6195141077041626	rest	10	0	2	6	within
fs32k	15	all	8	0.6536004543304443	rest	10	0	2	6	within
fs32k	15	all	9	0.6649510264396667	rest	10	0	2	6	within
fs32k	15	all	10	0.6150238513946533	rest	10	0	2	6	within
fs32k	15	all	11	0.6559661030769348	rest	10	0	2	6	within
fs32k	15	all	1	0.6036978960037231	rest	10	0	2	7	within
fs32k	15	all	2	0.6215087175369263	rest	10	0	2	7	within
fs32k	15	all	3	0.6439547538757324	rest	10	0	2	7	within
fs32k	15	all	4	0.7165697813034058	rest	10	0	2	7	within
fs32k	15	all	5	0.6579788327217102	rest	10	0	2	7	within
fs32k	15	all	6	0.6143767237663269	rest	10	0	2	7	within
fs32k	15	all	7	0.5960553884506226	rest	10	0	2	7	within
fs32k	15	all	8	0.6301984190940857	rest	10	0	2	7	within
